TABLE,RUN,NUM_LABELS,MIN,P25,P50,P75,P90,P95,P99,MAX,MEAN,QPS
cohere_wikipedia_22_12_1m_angular_uniform_int,2,4,1.15,100.48,158.40,211.70,213.95,264.10,267.62,278.41,156.04,6.41
cohere_wikipedia_22_12_1m_angular_uniform_int,2,8,5.98,214.06,266.74,317.74,367.61,370.26,420.66,473.57,269.97,3.70
cohere_wikipedia_22_12_1m_angular_uniform_int,2,16,214.00,421.99,472.81,522.76,572.14,618.40,666.66,723.31,476.87,2.10
cohere_wikipedia_22_12_1m_angular_uniform_int,2,32,579.53,822.70,881.33,950.46,998.35,1032.64,1105.12,1156.97,883.69,1.13
cohere_wikipedia_22_12_1m_angular_uniform_int,2,64,1600.95,1623.13,1642.82,1661.38,1672.48,1681.15,1704.30,1727.43,1643.72,0.61
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,1,94.98,205.80,270.33,22335.72,23289.05,23635.55,24903.04,25546.03,10890.10,0.09
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,2,53.68,146.51,207.65,21929.44,22317.19,22423.36,22590.61,22699.23,5873.16,0.17
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,4,37.76,84.63,113.11,166.37,240.33,22098.17,22319.78,22546.91,1557.70,0.64
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,8,25.12,49.82,62.81,78.11,101.43,116.27,214.90,243.15,68.57,14.58
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,16,16.25,30.40,36.56,43.91,51.39,56.85,65.57,98.05,37.82,26.44
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,32,9.99,20.08,23.90,27.69,30.99,32.67,35.60,42.25,23.96,41.74
cohere_wikipedia_22_12_1m_angular_uniform_diskann,1,64,8.16,14.19,16.49,19.03,20.74,22.06,24.37,28.85,16.54,60.45
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,1,96.72,201.02,260.88,21864.16,22686.73,24068.73,24996.64,25378.20,10585.57,0.09
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,2,49.93,137.00,203.11,274.96,22302.79,23550.73,24504.89,25335.67,5505.38,0.18
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,4,35.82,88.58,117.19,170.43,254.94,24313.29,24876.07,25737.03,1687.03,0.59
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,8,25.47,53.28,68.72,88.53,113.15,133.88,213.96,25155.83,150.07,6.66
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,16,16.13,33.26,40.07,47.87,56.83,62.29,79.46,218.17,41.73,23.96
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,32,11.49,21.32,25.76,29.95,33.34,35.03,38.40,45.53,25.77,38.81
cohere_wikipedia_22_12_1m_angular_uniform_diskann,2,64,8.48,15.99,18.51,21.45,23.71,24.86,27.90,30.37,18.68,53.54
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,1,1.16,1.82,22.56,25.37,27.42,28.60,30.97,43.59,17.51,57.10
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,2,1.43,21.59,24.14,26.17,28.07,29.04,31.72,42.75,22.48,44.48
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,4,1.98,22.15,24.00,25.88,27.46,28.49,30.65,36.88,23.83,41.97
